Index,LCOA,Latitude,Longitude,Production,Max_capacity,Electricity_Cost_Frac,cluster
-14_-47_1000000.0,215.38,-14,-47,1000000,1.116556398,0.296309685,0
8_81_1000000.0,233.05,8,81,1000000,0.564097037,0.308245406,1
14_26_1000000.0,197.75,14,26,1000000,6.934026164,0.273513861,2
-28_142_1000000.0,214.12,-28,142,1000000,3.406513559,0.279805991,3
24_-110_1000000.0,209.67,24,-110,1000000,0.916017028,0.277916122,4
30_55_1000000.0,207.94,30,55,1000000,7.423663546,0.2798115,5
-31_-70_1000000.0,194.47,-31,-70,1000000,5.335233597,0.254921553,6
41_97_1000000.0,227.9,41,97,1000000,5.615258213,0.295196691,7
24_0_1000000.0,201.19,24,0,1000000,7.350090758,0.276154716,8
-21_124_1000000.0,203.03,-21,124,1000000,4.329552437,0.282147989,9
-21_15_1000000.0,200.78,-21,15,1000000,2.251294366,0.272815899,10
21_24_1000000.0,195.03,21,24,1000000,9.518146631,0.26675357,11
18_12_1000000.0,194.75,18,12,1000000,5.273205991,0.268697751,12
18_-98_1000000.0,210.11,18,-98,1000000,1.448513912,0.285301549,13
-21_25_1000000.0,203.35,-21,25,1000000,1.648229517,0.277945455,14
-11_-43_1000000.0,211.0,-11,-43,1000000,1.300668394,0.289134148,15
36_77_1000000.0,200.83,36,77,1000000,2.970953174,0.258601871,16
45_115_1000000.0,240.93,45,115,1000000,1.029772836,0.327271529,17
16_10_1000000.0,195.59,16,10,1000000,1.314018868,0.272818729,18
17_46_1000000.0,197.97,17,46,1000000,9.330536989,0.278458181,19
-20_124_1000000.0,201.2,-20,124,1000000,4.449219009,0.279250759,20
-28_-69_1000000.0,186.8,-28,-69,1000000,5.550723233,0.245292451,21
37_-118_1000000.0,212.24,37,-118,1000000,1.358098985,0.27197694,22
12_106_1000000.0,229.98,12,106,1000000,0.854642992,0.315151116,23
17_25_1000000.0,193.74,17,25,1000000,9.908171699,0.268090798,24
54_159_1000000.0,337.83,54,159,1000000,0.647269809,0.354381428,25
27_38_1000000.0,204.22,27,38,1000000,5.593915219,0.278434974,26
42_81_1000000.0,222.55,42,81,1000000,2.040790225,0.292079459,27
27_-82_1000000.0,241.79,27,-82,1000000,0.777290872,0.319968617,28
-21_44_1000000.0,212.61,-21,44,1000000,0.672478171,0.295944319,29
35_67_1000000.0,206.43,35,67,1000000,1.213014233,0.264478298,30
30_85_1000000.0,195.38,30,85,1000000,3.568769992,0.259806342,31
-21_-58_1000000.0,236.26,-21,-58,1000000,1.142997902,0.304790414,32
17_-16_1000000.0,199.62,17,-16,1000000,2.656827815,0.27752839,33
37_63_1000000.0,234.39,37,63,1000000,2.794238937,0.290968119,34
6_102_1000000.0,230.07,6,102,1000000,0.528393044,0.310586643,35
3_36_1000000.0,199.73,3,36,1000000,7.176301184,0.279525703,36
38_-106_1000000.0,213.49,38,-106,1000000,1.051877538,0.275146266,37
12_-72_1000000.0,202.15,12,-72,1000000,1.419417069,0.310299224,38
33_92_1000000.0,200.32,33,92,1000000,2.501495354,0.265497482,39
20_9_1000000.0,195.6,20,9,1000000,2.118563397,0.271836643,40
-6_35_1000000.0,205.94,-6,35,1000000,1.467588387,0.277023264,41
23_-103_1000000.0,204.35,23,-103,1000000,1.676901565,0.273668726,42
-23_134_1000000.0,204.99,-23,134,1000000,4.221675034,0.273281267,43
17_121_1000000.0,254.54,17,121,1000000,0.558908267,0.333973158,44
20_-12_1000000.0,196.72,20,-12,1000000,9.308156696,0.273445591,45
-16_137_1000000.0,206.81,-16,137,1000000,1.228818149,0.276856796,46
-15_-72_1000000.0,193.95,-15,-72,1000000,2.713156241,0.26546059,47
-19_13_1000000.0,200.0,-19,13,1000000,1.861274087,0.272777215,48
42_109_1000000.0,230.38,42,109,1000000,1.395898176,0.314632738,49
