node_id,location,longtitude,latitude
oft_steel1,China Hubei,31.15,114.77
oft_steel2,China Jiangsu,32.93,119.47
oft_steel3,China Shandong ,35.31,119.40
oft_steel4,South korea Pohang ,35.95,129.31
oft_steel5,Japan,35.33,139.93
oft_steel6,India Odisha,21.71,83.295
oft_steel7,India Karnataka,14.17,75.85
oft_steel8,Germany Duisberg,51.50,6.78
oft_steel9,Netherlands Ijmuiden,52.46,4.59
oft_steel10,USA Alabama,30.819058,-88.14
oft_steel11,USA Michigan,42.345372,-83.036646
oft_steel12, Brazil Rio de janeiro, -22.851524, -44.108331
